Folder,Image,Prompt,FID,CLIP
Baby Driver,poster_v1_5.png,"A stunning movie poster for a action film titled 'Baby Driver'. The design is inspired by the film's theme: After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.. The poster has a cinematic, high-quality aesthetic with dramatic lighting and artistic composition.",295.21102585953116,32.87129211425781
Baby Driver,poster_v2_1.png,"A stunning movie poster for a action film titled 'Baby Driver'. The design is inspired by the film's theme: After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.. The poster has a cinematic, high-quality aesthetic with dramatic lighting and artistic composition.",309.8920470153319,32.74177169799805
The Green Mile,poster_v1_5.png,"A crime movie poster titled 'The Green Mile', inspired by: The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.. Cinematic, high-quality, artistic.",530.0566561928772,24.408496856689453
The Green Mile,poster_v2_1.png,"A crime movie poster titled 'The Green Mile', inspired by: The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.. Cinematic, high-quality, artistic.",371.51911712590106,37.91435623168945
Mad Max,poster_v1_5.png,"Final prompt: A stunning movie poster for a action film titled 'Mad Max: Fury Road'. The design is inspired by the film's theme: In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.. The poster has a cinematic, high-quality aesthetic with dramatic lighting and artistic composition.",420.3316238366099,29.828338623046875
Mad Max,poster_v2_1.png,"Final prompt: A stunning movie poster for a action film titled 'Mad Max: Fury Road'. The design is inspired by the film's theme: In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.. The poster has a cinematic, high-quality aesthetic with dramatic lighting and artistic composition.",251.81372430535313,30.49442481994629
Mad Max,poster_web.jpg,"Final prompt: A stunning movie poster for a action film titled 'Mad Max: Fury Road'. The design is inspired by the film's theme: In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.. The poster has a cinematic, high-quality aesthetic with dramatic lighting and artistic composition.",373.3007900793762,33.03431701660156
American Psycho,American_psycho_web.png,"Final prompt: A stunning movie poster for a comedy film titled 'American Psycho'. The design is inspired by the film's theme: A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.. The poster has a cinematic, high-quality aesthetic with dramatic lighting and artistic composition.",180.85763773968068,26.267248153686523
American Psycho,American_psycho_1-5.png,"Final prompt: A stunning movie poster for a comedy film titled 'American Psycho'. The design is inspired by the film's theme: A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.. The poster has a cinematic, high-quality aesthetic with dramatic lighting and artistic composition.",340.1808735730284,31.906627655029297
American Psycho,American_psycho_2-1.png,"Final prompt: A stunning movie poster for a comedy film titled 'American Psycho'. The design is inspired by the film's theme: A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.. The poster has a cinematic, high-quality aesthetic with dramatic lighting and artistic composition.",307.34005868336317,33.29891586303711
Arrival,poster_v1_5.png,"A stunning movie poster for a drama film titled 'Arrival'.The design is inspired by the film's theme: The film is based on the novel of the same name by the same name..The poster has a cinematic, high-quality aesthetic with dramatic lighting and artistic composition.",307.33029856685226,30.688955307006836
Arrival,poster_v2_1.png,"A stunning movie poster for a drama film titled 'Arrival'.The design is inspired by the film's theme: The film is based on the novel of the same name by the same name..The poster has a cinematic, high-quality aesthetic with dramatic lighting and artistic composition.",452.9935034956803,36.232730865478516
Inception,poster_v1_5.png,"A sci-fi movie poster titled 'Inception', inspired by: A thief who enters dreams.. Cinematic, high-quality, artistic.",340.7583970097398,30.54360008239746
Inception,poster_v2_1.png,"A sci-fi movie poster titled 'Inception', inspired by: A thief who enters dreams.. Cinematic, high-quality, artistic.",384.94359400802733,32.32675552368164
The Adventures of Robin Hood,poster_v1_5.png,"A stunning movie poster for a action film titled 'The Adventures of Robin Hood'. The design is inspired by the film's theme: When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army.. The poster has a cinematic, high-quality aesthetic with dramatic lighting and artistic composition.",346.30811828410395,30.87134552001953
The Adventures of Robin Hood,poster_v2_1.png,"A stunning movie poster for a action film titled 'The Adventures of Robin Hood'. The design is inspired by the film's theme: When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army.. The poster has a cinematic, high-quality aesthetic with dramatic lighting and artistic composition.",307.89607609165836,41.682167053222656
The Adventures of Robin Hood,poster_web.jpg,"A stunning movie poster for a action film titled 'The Adventures of Robin Hood'. The design is inspired by the film's theme: When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army.. The poster has a cinematic, high-quality aesthetic with dramatic lighting and artistic composition.",303.49579218340955,35.86970901489258
CapeFear,poster_v1_5.png,"Final prompt: A stunning movie poster for a drama film titled 'Cape Fear'. The design is inspired by the film's theme: A lawyer's family is stalked by a man he once helped put in jail.. The poster has a cinematic, high-quality aesthetic with dramatic lighting and artistic composition.",519.2725085350183,23.808629989624023
CapeFear,poster_v2_1.png,"Final prompt: A stunning movie poster for a drama film titled 'Cape Fear'. The design is inspired by the film's theme: A lawyer's family is stalked by a man he once helped put in jail.. The poster has a cinematic, high-quality aesthetic with dramatic lighting and artistic composition.",660.4491154977302,30.019351959228516
CapeFear,poster_web.jpg,"Final prompt: A stunning movie poster for a drama film titled 'Cape Fear'. The design is inspired by the film's theme: A lawyer's family is stalked by a man he once helped put in jail.. The poster has a cinematic, high-quality aesthetic with dramatic lighting and artistic composition.",524.4340383434215,23.558141708374023
